"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2023-06-19T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",24.05,"provisorisch"
"2023-06-19T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",171.73,"provisorisch"
"2023-06-19T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",964.62,"provisorisch"
"2023-06-19T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",277.97,"provisorisch"
"2023-06-19T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",29.5,"provisorisch"
"2023-06-19T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",23.98,"provisorisch"
"2023-06-19T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",NA,"provisorisch"
"2023-06-19T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",966.97,"provisorisch"
"2023-06-19T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",30.15,"provisorisch"
"2023-06-19T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",23.48,"provisorisch"
"2023-06-19T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",131,"provisorisch"
"2023-06-19T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",964.71,"provisorisch"
"2023-06-19T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",28.62,"provisorisch"
"2023-06-20T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",24.77,"provisorisch"
"2023-06-20T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",219.98,"provisorisch"
"2023-06-20T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",964.18,"provisorisch"
"2023-06-20T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",277.38,"provisorisch"
"2023-06-20T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",30.19,"provisorisch"
"2023-06-20T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",24.81,"provisorisch"
"2023-06-20T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",NA,"provisorisch"
"2023-06-20T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",966.52,"provisorisch"
"2023-06-20T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",30.81,"provisorisch"
"2023-06-20T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",24.05,"provisorisch"
"2023-06-20T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",192.12,"provisorisch"
"2023-06-20T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",964.25,"provisorisch"
"2023-06-20T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",30.15,"provisorisch"
"2023-06-21T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",23.97,"provisorisch"
"2023-06-21T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",19.63,"provisorisch"
"2023-06-21T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",967.6,"provisorisch"
"2023-06-21T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",237.3,"provisorisch"
"2023-06-21T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",27.12,"provisorisch"
"2023-06-21T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",24.23,"provisorisch"
"2023-06-21T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",NA,"provisorisch"
"2023-06-21T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",969.94,"provisorisch"
"2023-06-21T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",27.51,"provisorisch"
"2023-06-21T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",23.22,"provisorisch"
"2023-06-21T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",16.42,"provisorisch"
"2023-06-21T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",967.7,"provisorisch"
"2023-06-21T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",26.53,"provisorisch"
"2023-06-22T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",22.84,"provisorisch"
"2023-06-22T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",167.98,"provisorisch"
"2023-06-22T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",966.33,"provisorisch"
"2023-06-22T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",182.63,"provisorisch"
"2023-06-22T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",28.27,"provisorisch"
"2023-06-22T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",22.89,"provisorisch"
"2023-06-22T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",NA,"provisorisch"
"2023-06-22T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",968.69,"provisorisch"
"2023-06-22T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",28.87,"provisorisch"
"2023-06-22T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",22.32,"provisorisch"
"2023-06-22T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",143.43,"provisorisch"
"2023-06-22T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",966.41,"provisorisch"
"2023-06-22T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",28.09,"provisorisch"
"2023-06-23T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",21.08,"provisorisch"
"2023-06-23T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",208.55,"provisorisch"
"2023-06-23T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",973.16,"provisorisch"
"2023-06-23T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",278.86,"provisorisch"
"2023-06-23T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",25.28,"provisorisch"
"2023-06-23T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",21.19,"provisorisch"
"2023-06-23T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",NA,"provisorisch"
"2023-06-23T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",975.58,"provisorisch"
"2023-06-23T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",25.17,"provisorisch"
"2023-06-23T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",20.49,"provisorisch"
"2023-06-23T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",184.92,"provisorisch"
"2023-06-23T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",973.26,"provisorisch"
"2023-06-23T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",25.42,"provisorisch"
"2023-06-24T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",21.94,"provisorisch"
"2023-06-24T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"provisorisch"
"2023-06-24T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",972.87,"provisorisch"
"2023-06-24T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",355.71,"provisorisch"
"2023-06-24T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",26.08,"provisorisch"
"2023-06-24T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",22.32,"provisorisch"
"2023-06-24T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",NA,"provisorisch"
"2023-06-24T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",975.23,"provisorisch"
"2023-06-24T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",26.66,"provisorisch"
"2023-06-24T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",21.46,"provisorisch"
"2023-06-24T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"provisorisch"
"2023-06-24T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",972.97,"provisorisch"
"2023-06-24T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",26.27,"provisorisch"
"2023-06-25T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",23.73,"provisorisch"
"2023-06-25T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"provisorisch"
"2023-06-25T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",967.76,"provisorisch"
