"id","lokalisationsname","messwert_von","messwert_bis","temporegime","temporegime_technical","umgesetzt_datum","rechtskraeftig_datum","publiziert_vsi_datum","ausnahmen_fahrverbot","fahrverbot_ssv","objectid"
"2255","Orellistrasse","0.00000000","23.14000000","T50","T50","","","","","","6382"
"2258","Stephan-à-Porta-Weg","71.88800000","136.07600000","T50","T50","","","","","","6383"
"993","Zeltweg","0.00000000","686.30100000","T50","T50","","","","","","6384"
"997","Löwenplatz","84.61800000","108.04300000","Fahrverbot","T0","","","","","","6385"
"1002","Luegete","0.00000000","349.95500000","Fahrverbot","T0","","","","","","6386"
"1009","Magnolienstrasse","0.00000000","77.84400000","T30","T30","","","","","","6387"
"1015","Maneggweg","0.00000000","1224.86200000","Fahrverbot","T0","","","","","","6388"
"1023","Motorenstrasse","0.00000000","173.95200000","T30","T30","","","","","","6389"
"1027","Delphinstrasse","0.00000000","164.83600000","T20","T20","","","","","","6390"
"1036","Neuwiesenstrasse","0.00000000","115.62200000","T30","T30","","","","","","6391"
"1044","Weichengasse","0.00000000","65.36300000","Fahrverbot","T0","","","","","","6392"
"1046","Weingasse","0.00000000","72.58000000","Fahrverbot","T0","","","","","","6393"
"1049","Wengistrasse","165.13200000","288.86400000","T30","T30","","","","","","6394"
"1059","Wiesliacher","393.51700000","438.78000000","Fahrverbot","T0","","","","","","6395"
"1067","Wohnstadion Kirchenacker","0.00000000","284.24100000","Fahrverbot","T0","","","","","","6396"
"1069","Wolframplatz","36.82100000","60.25700000","Fahrverbot","T0","","","","","","6397"
"1080","Zentralhof","336.87700000","369.15700000","Fahrverbot","T0","","","","","","6398"
"1085","Verbindung Bändli-Bernerstr","0.00000000","120.12400000","T30","T30","","","","","","6399"
"1091","Waltersteig","0.00000000","57.91500000","Fahrverbot","T0","","","","","","6400"
"1099","Elsa-Cavelti-Weg","0.00000000","204.70300000","Fahrverbot","T0","","","","","","6401"
"1100","Elsastrasse","0.00000000","126.71100000","T30","T30","","","","","","6402"
"1105","Engelstrasse","0.00000000","35.15200000","Fahrverbot","T0","","","","","","6403"
"1113","Mattensteg","0.00000000","66.53500000","Fahrverbot","T0","","","","","","6404"
"1117","Meiliweg","0.00000000","39.11400000","Fahrverbot","T0","20151207000000","","","","","6405"
"1123","Ottikerstrasse","510.74800000","548.17700000","T20","T20","","","","","","6406"
"1128","Waldstrasse","0.00000000","170.97500000","T30","T30","","","","","","6407"
"1133","Schwandenholzstrasse","1107.16500000","1137.40400000","Fahrverbot","T0","","","","","","6408"
"1135","Im Kratz","0.00000000","80.74400000","T30","T30","","","","","","6409"
"1136","Sihlstrasse","429.06800000","522.55400000","T50","T50","","","","","","6410"
"1144","Waidfussweg","168.32800000","227.50000000","T30","T30","","","","","","6411"
"1149","Birchplatz","54.85900000","73.88000000","T50","T50","","","","","","6412"
"1154","Stampfenbrunnenstrasse","324.31500000","418.56300000","T30","T30","","","","","","6413"
"1164","Mommsenstrasse","59.39900000","195.13800000","T30","T30","","","","","","6414"
"1171","Landoltstrasse","87.16300000","250.89900000","T30","T30","","","","","","6415"
"1178","Weingartenweg","0.00000000","101.82400000","Fahrverbot","T0","","","","","","6416"
"1187","Bauhallengasse","0.00000000","80.95500000","T30","T30","","","","","","6417"
"1188","Bus Kappenbühlstrasse","0.00000000","143.00500000","T50","T50","","","","","","6418"
"1193","Landhusweg","0.00000000","174.27500000","T30","T30","","","","","","6419"
"1203","Langmattweg","0.00000000","115.89100000","Fahrverbot","T0","","","","","","6420"
"1208","Ahornstrasse","58.05700000","123.86200000","Fahrverbot","T0","","","","","","6421"
"1213","Tannenstrasse","0.00000000","145.13600000","T50","T50","","","","","","6422"
"1222","Toblerplatz","0.00000000","39.28200000","T50","T50","","","","","","6423"
"1225","Guthirtstrasse","0.00000000","132.72500000","T30","T30","","","","","","6424"
"1234","Hafnerstrasse","166.83700000","342.05300000","T30","T30","","","","","","6425"
"1235","Schweizergasse","137.19700000","230.06400000","T50","T50","","","","","","6426"
"1245","Kronenstrasse","67.00000000","154.21600000","T30","T30","20171113000000","","","","","6427"
"1248","Elisabethenstrasse","0.00000000","275.69900000","T30","T30","","","","","","6428"
"1255","Möhrlistrasse","736.08100000","838.11000000","Fahrverbot","T0","","","","","","6429"
"1261","Sigi-Feigel-Terrasse","132.48300000","176.18700000","Fahrverbot","T0","","","","","","6430"
"1272","Hürststrasse","0.00000000","262.16100000","T30","T30","","","","","","6431"
"1273","Kanonengasse","0.00000000","291.95800000","T50","T50","","","","","","6432"
"1275","Klusplatz","83.96900000","109.00700000","T50","T50","","","","","","6433"
"1280","A1L","3988.52900000","4170.94500000","T60","T60","","","","","","6434"
"1288","Basteigasse","0.00000000","72.41000000","T30","T30","","","","","","6435"
"1290","Heubeeriweg","0.00000000","110.95100000","T30","T30","","","","","","6436"
"1294","Döltschihalde","0.00000000","102.57600000","Fahrverbot","T0","","","","","","6437"
"5181","Dachslernstrasse","0.00000000","168.69500000","Fahrverbot","T0","20230425000000","20210416000000","20201118000000","Zubringerdienst / GU gestattet","2.13 Verbot für Motorwagen u. Motorräder","6438"
"1302","Kronwiesenstrasse","0.00000000","294.74800000","T30","T30","","","","","","6439"
"1306","Tulpenstrasse","391.16800000","435.56300000","T30","T30","","","","","","6440"
"1318","Kalkbreitestrasse","714.31300000","788.50000000","Fahrverbot","T0","","","","","","6441"
"1329","Steinmühleplatz","144.05300000","201.09100000","T50","T50","","","","","","6442"
"1332","Werdmühleplatz","0.00000000","12.06800000","T30","T30","20170724000000","","","","","6443"
"1340","Gotthelfstrasse","0.00000000","159.05700000","T30","T30","","","","","","6444"
"1349","Rotachstrasse","265.82400000","436.21900000","T30","T30","","","","","","6445"
"1354","Dietzingerstrasse","0.00000000","99.40400000","T30","T30","","","","","","6446"
"1362","Freigutstrasse","276.84300000","325.48300000","T30","T30","","","","","","6447"
"1368","Wetlistrasse","0.00000000","75.48800000","T30","T30","","","","","","6448"
"1375","Jupitersteig","0.00000000","142.61300000","Fahrverbot","T0","","","","","","6449"
