,Unnamed: 0.1,Datum,TotalDailyTraffic,Street,NO,NO2,NOx,O3,O3_max_h1,O3_nb_h1>120,PM10,PM2.5,CO,SO2,PN,RainDur,T,T_max_h1,p,StrGlo,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep,Weekday_0,Weekday_1,Weekday_2,Weekday_3,Weekday_4,Weekday_5,Weekday_6,1.5km_green,1km_green,500m_green,200m_green,1.5km_trees,1km_trees,500m_trees,200m_trees,WD,WVv,WVs,Hr,NO2_tomorrow
40,40,2012-02-10,15568.0,Zch_Stampfenbachstrasse,19.47,45.15,39.22,30.12,55.92,0.0,46.84,,0.54,7.56,,66.03,-7.25,-5.95,977.68,58.54,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,7471,4473,1611,132,9115,4054,1419,152,42.53041666666667,2.453333333333333,2.4583333333333335,78.79125,28.6
41,41,2012-02-11,10535.0,Zch_Stampfenbachstrasse,6.71,28.6,20.34,59.68,65.48,0.0,49.03,,0.47,8.88,,28.53,-8.5,-7.55,973.58,67.89,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,7471,4473,1611,132,9115,4054,1419,152,43.830000000000005,2.92,2.922916666666667,73.89541666666666,40.61
42,42,2012-02-12,7978.0,Zch_Stampfenbachstrasse,7.15,40.61,26.97,47.68,76.77,0.0,58.08,,0.54,10.49,,0.0,-9.28,-6.9,974.88,104.53,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,7471,4473,1611,132,9115,4054,1419,152,45.91375,2.2829166666666665,2.299166666666667,71.67125,77.73
43,43,2012-02-13,12988.0,Zch_Stampfenbachstrasse,40.91,77.73,73.45,16.58,48.6,0.0,77.72,,0.77,10.83,,84.48,-7.34,-3.63,972.18,51.39,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,7471,4473,1611,132,9115,4054,1419,152,182.3125,0.95125,1.0179166666666666,77.52833333333334,58.22
44,44,2012-02-14,13846.0,Zch_Stampfenbachstrasse,17.29,58.22,44.31,25.17,44.02,0.0,42.29,,0.5,6.32,,493.3,-1.52,0.68,966.36,58.41,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,7471,4473,1611,132,9115,4054,1419,152,238.66458333333333,1.0845833333333335,1.1175,78.17958333333333,26.78
45,45,2012-02-15,12617.0,Zch_Stampfenbachstrasse,3.71,26.78,16.98,42.09,52.42,0.0,10.36,,0.27,2.56,,1006.75,1.24,2.17,965.29,12.79,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,7471,4473,1611,132,9115,4054,1419,152,255.70541666666668,3.2070833333333333,3.2225,87.165,53.43
46,46,2012-02-16,13823.0,Zch_Stampfenbachstrasse,32.37,53.43,53.89,22.65,49.74,0.0,13.38,,0.48,3.64,,44.33,2.32,4.23,972.42,64.18,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,7471,4473,1611,132,9115,4054,1419,152,257.4875,0.875,0.9016666666666667,80.14083333333333,56.44
47,47,2012-02-17,15126.0,Zch_Stampfenbachstrasse,27.55,56.44,51.61,18.32,53.58,0.0,24.76,,0.46,4.47,,0.0,2.31,5.55,974.7,76.86,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,7471,4473,1611,132,9115,4054,1419,152,212.00791666666666,1.1733333333333333,1.2033333333333334,74.30958333333334,46.13
48,48,2012-02-18,11623.0,Zch_Stampfenbachstrasse,11.85,46.13,33.63,27.88,56.45,0.0,27.24,,0.42,4.5,,0.0,3.49,7.12,969.5,127.16,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,7471,4473,1611,132,9115,4054,1419,152,193.48708333333332,1.3295833333333333,1.3441666666666665,72.06625,31.69
49,49,2012-02-19,8547.0,Zch_Stampfenbachstrasse,4.7,31.69,20.34,40.55,64.8,0.0,15.06,,0.32,2.88,,512.03,3.35,4.82,968.7,35.18,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,7471,4473,1611,132,9115,4054,1419,152,232.665,1.5616666666666665,1.6133333333333333,81.55125,35.79
